GCF_000722875.1	Sphingobium chlorophenolicum
GCF_001005725.1	Sphingobium chungbukense
GCF_002355855.1	Sphingobium cloacae
GCF_001046645.1	Sphingobium cupriresistens LL01
GCF_030580935.1	Sphingobium cyanobacteriorum
GCF_008692605.1	Sphingobium estronivorans
GCF_004122115.1	Sphingobium fluviale
GCF_014196635.1	Sphingobium fontiphilum
GCF_015074805.1	Sphingobium fuliginis
GCF_001598535.1	Sphingobium herbicidovorans NBRC 16415
GCF_000091125.1	Sphingobium indicum UT26S
GCF_014196495.1	Sphingobium jiangsuense
GCF_000445105.1	Sphingobium lactosutens DS20
GCF_014203955.1	Sphingobium lignivorans
GCF_008710165.1	Sphingobium limneticum
GCF_037860795.1	Sphingobium mellinum
GCF_043589935.1	Sphingobium naphthae
GCF_018603885.1	Sphingobium nicotianae
GCF_042678845.1	Sphingobium olei
GCF_018286635.1	Sphingobium phenoxybenzoativorans
GCF_012927105.1	Sphingobium psychrophilum
GCF_000445065.1	Sphingobium quisquiliarum P25
GCF_042647625.1	Sphingobium rhizovicinum
GCF_014197035.1	Sphingobium scionense
GCF_020782245.1	Sphingobium soli
GCF_014199435.1	Sphingobium subterraneum
GCF_021403115.1	Sphingobium sufflavum
GCF_003591655.1	Sphingobium terrigena
GCF_042654265.1	Sphingobium tyrosinilyticum
GCF_000447205.1	Sphingobium ummariense RL-3
GCF_011762025.1	Sphingobium vermicomposti
GCF_007830065.1	Sphingobium wenxiniae
GCF_019737615.1	Sphingobium xanthum
GCF_002288285.1	Sphingobium xenophagum
GCF_002504085.1	Sphingobium yanoikuyae
GCF_024721585.1	Sphingomicrobium aestuariivivum
GCF_039655735.1	Sphingomicrobium aquimarinum
GCF_026157085.1	Sphingomicrobium arenosum
GCF_026157155.1	Sphingomicrobium astaxanthinifaciens
GCF_019264355.1	Sphingomicrobium clamense
GCF_024721605.1	Sphingomicrobium flavum
GCF_026157185.1	Sphingomicrobium lutaoense
GCF_026157105.1	Sphingomicrobium marinum
GCF_039555325.1	Sphingomicrobium maritimum
GCF_026157035.1	Sphingomicrobium nitratireducens
GCF_023805295.1	Sphingomicrobium sediminis
GCF_014199625.1	Sphingomonas abaci
GCF_027625475.1	Sphingomonas abietis
GCF_002374855.1	Sphingomonas adhaesiva
GCF_023935825.1	Sphingomonas aerolata
GCF_014199305.1	Sphingomonas aerophila
GCF_032911445.1	Sphingomonas agrestis
GCF_038148795.1	Sphingomonas agri
GCF_023516555.1	Sphingomonas alba
GCF_044501755.1	Sphingomonas albertensis
GCF_016743815.1	Sphingomonas aliaeris
GCF_025370095.1	Sphingomonas alpina
GCF_023516495.1	Sphingomonas anseongensis
GCF_965137005.1	Sphingomonas antarctica
GCF_037173185.1	Sphingomonas aquatica
GCF_036480755.1	Sphingomonas aquatilis
GCF_003345355.1	Sphingomonas aracearum
GCF_042682045.1	Sphingomonas arantia
GCF_016924655.1	Sphingomonas arenae
GCF_026013565.1	Sphingomonas arvum
GCF_001598355.1	Sphingomonas asaccharolytica NBRC 15499
GCF_000711715.1	Sphingomonas astaxanthinifaciens DSM 22298
GCF_003050705.1	Sphingomonas aurantiaca
GCF_030678875.1	Sphingomonas aurea
GCF_002091475.1	Sphingomonas azotifigens NBRC 15497
GCF_005144715.1	Sphingomonas baiyangensis
GCF_016820445.1	Sphingomonas beigongshangi
GCF_024349785.1	Sphingomonas bisphenolicum
GCF_023516505.1	Sphingomonas brevis
GCF_026013415.1	Sphingomonas caeni
GCF_026013525.1	Sphingomonas canadensis
GCF_021391395.1	Sphingomonas cannabina
GCF_047223455.1	Sphingomonas carotinifaciens
GCF_023516455.1	Sphingomonas caseinilyticus
GCF_003590775.1	Sphingomonas cavernae
GCF_000974765.1	Sphingomonas changbaiensis NBRC 104936
GCF_009913435.1	Sphingomonas changnyeongensis
GCF_013778325.1	Sphingomonas chungangi
GCF_019429485.1	Sphingomonas citri
GCF_019429535.1	Sphingomonas citricola
GCF_019880585.1	Sphingomonas colocasiae
GCF_012035195.1	Sphingomonas corticis
GCF_021502585.1	Sphingomonas cremea
GCF_004005865.1	Sphingomonas crocodyli
GCF_003391115.1	Sphingomonas crusticola
GCF_039537815.1	Sphingomonas cynarae
GCF_039543105.1	Sphingomonas daechungensis
GCF_004135605.1	Sphingomonas desiccabilis
GCF_002197685.1	Sphingomonas dokdonensis
GCF_023674425.1	Sphingomonas donggukensis
GCF_033842725.1	Sphingomonas echinoides
GCF_003583725.1	Sphingomonas edaphi
GCF_000226955.1	Sphingomonas elodea ATCC 31461
GCF_025231525.1	Sphingomonas endolithica
GCF_039537525.1	Sphingomonas endophytica
GCF_003053745.1	Sphingomonas faeni
GCF_004796535.1	Sphingomonas flavalba
GCF_030866745.1	Sphingomonas flavescens
GCF_042681125.1	Sphingomonas floccifaciens
GCF_019429525.1	Sphingomonas folli
GCF_034659795.1	Sphingomonas fuzhouensis
GCF_004792685.1	Sphingomonas gei
GCF_900110035.1	Sphingomonas gellani
GCF_003515075.1	Sphingomonas gilva
GCF_003970925.1	Sphingomonas ginkgonis
GCF_009363895.1	Sphingomonas ginsengisoli (ex An et al. 2013)
GCF_002374835.1	Sphingomonas ginsenosidimutans
GCF_007995065.1	Sphingomonas ginsenosidivorax
GCF_014653575.1	Sphingomonas glacialis
GCF_023380025.1	Sphingomonas glaciei
GCF_900199185.1	Sphingomonas guangdongensis
GCF_022664465.1	Sphingomonas hankookensis
GCF_023516575.1	Sphingomonas hankyongi
GCF_000935025.1	Sphingomonas hengshuiensis
GCF_013328205.1	Sphingomonas hominis
GCF_009753715.1	Sphingomonas horti
GCF_039536725.1	Sphingomonas humi
GCF_025370105.1	Sphingomonas hylomeconis
GCF_030580995.1	Sphingomonas immobilis
GCF_010450875.1	Sphingomonas insulae
GCF_011762085.1	Sphingomonas japonica
GCF_000585415.1	Sphingomonas jaspsi DSM 18422
GCF_900113315.1	Sphingomonas jatrophae
GCF_001981525.1	Sphingomonas jeddahensis
GCF_011927695.1	Sphingomonas jejuensis
