GCF_900010725.2	Planktothrix serta PCC 8927
GCF_904830955.1	Planktothrix tepida
GCF_015354315.1	Planobacterium oryzisoli
GCF_016863135.1	Planobispora longispora
GCF_014648175.1	Planobispora rosea
GCF_016863175.1	Planobispora siamensis
GCF_016863195.1	Planobispora takensis
GCF_018283455.1	Planococcus alpniumensis
GCF_001687565.2	Planococcus antarcticus DSM 14505
GCF_016820495.1	Planococcus beigongshangi
GCF_016820615.1	Planococcus beijingensis
GCF_042681545.1	Planococcus chinensis
GCF_003664125.1	Planococcus citreus
GCF_042654465.1	Planococcus dechangensis
GCF_001687665.2	Planococcus donghaensis
GCF_002009235.1	Planococcus faecalis
GCF_013368775.1	Planococcus glaciei
GCF_001687585.2	Planococcus halocryophilus
GCF_003289955.1	Planococcus halotolerans
GCF_001465835.2	Planococcus kocurii
GCF_014202615.1	Planococcus koreensis
GCF_001999905.1	Planococcus lenghuensis
GCF_030413595.1	Planococcus liqunii
GCF_003289925.1	Planococcus maitriensis
GCF_001687625.2	Planococcus maritimus
GCF_000821325.1	Planococcus massiliensis
GCF_030407825.1	Planococcus notacanthi
GCF_001687605.2	Planococcus plakortidis
GCF_001465795.2	Planococcus rifietoensis
GCF_022819085.1	Planococcus ruber
GCF_003428865.1	Planococcus salinarum
GCF_003719725.1	Planococcus salinus
GCF_030481865.1	Planococcus shenhongbingii
GCF_030481725.1	Planococcus shixiaomingii
GCF_007004635.1	Planococcus soli
GCF_001186155.3	Planococcus versutus
GCF_014836985.1	Planococcus wigleyi
GCF_900176575.1	Planomicrobium okeanokoites
GCF_003014655.1	Planomicrobium soli
GCF_030814955.1	Planomicrobium stackebrandtii
GCF_039534085.1	Planomonospora alba
GCF_042650625.1	Planomonospora corallina
GCF_016863215.1	Planomonospora parontospora subsp. parontospora
GCF_001653075.1	Planomonospora sphaerica
GCF_014203605.1	Planomonospora venezuelensis
GCF_016862875.1	Planosporangium flavigriseum
GCF_016863255.1	Planosporangium mesophilum
GCF_049999945.1	Planosporangium spinosum
GCF_011947195.1	Planosporangium thailandense
GCF_016862895.1	Planotetraspora kaengkrachanensis
GCF_016863275.1	Planotetraspora mira
GCF_016863295.1	Planotetraspora phitsanulokensis
GCF_016863315.1	Planotetraspora silvatica
GCF_016863335.1	Planotetraspora thailandica
GCF_015690345.1	Plantactinospora alkalitolerans
GCF_016862915.1	Plantactinospora endophytica
GCF_016862935.1	Plantactinospora mayteni
GCF_042434095.1	Plantactinospora siamensis
GCF_042658085.1	Plantactinospora solaniradicis
GCF_036422035.1	Plantactinospora sonchi
GCF_014874095.1	Plantactinospora soyae
GCF_036421995.1	Plantactinospora veratri
GCF_050587365.1	Plantibacter auratus
GCF_003755125.1	Plantibacter flavus
GCF_008802405.1	Plantimonas leprariae
GCF_003182095.1	Plasticicumulans acidivorans
GCF_004341245.1	Plasticicumulans lactativorans
GCF_042666235.1	Plastorhodobacter daqingensis
GCF_018128965.1	Plastoroseomonas arctica
GCF_018129085.1	Plastoroseomonas hellenica
GCF_026013615.1	Plebeiibacterium marinum
GCF_026013605.1	Plebeiibacterium sediminum
GCF_025753815.1	Plectonema radiosum NIES-515
GCF_031198435.1	Pleionea litopenaei
GCF_003148745.1	Pleionea mediterranea
GCF_007570825.1	Pleionea sediminis
GCF_002770725.1	Pleomorphomonas carboxyditropha
GCF_900114935.1	Pleomorphomonas diazotrophica
GCF_000425185.1	Pleomorphomonas koreensis DSM 23070
GCF_000422965.1	Pleomorphomonas oryzae DSM 16300
GCF_003347495.1	Pleomorphovibrio marinus
GCF_000170895.1	Plesiocystis pacifica SIR-1
GCF_020991025.1	Plesiomonas shigelloides
GCF_003019925.1	Pluralibacter gergoviae
GCF_046844695.1	Pokkaliibacter plantistimulans
GCF_005885675.1	Polaribacter aestuariivivens
GCF_003129485.1	Polaribacter aquimarinus
GCF_038023995.1	Polaribacter atrinae
GCF_017498485.1	Polaribacter batillariae
GCF_038024105.1	Polaribacter butkevichii
GCF_017569185.1	Polaribacter cellanae
